#x 	 prob[x] 	 prob_norm
61	0.0	[ 1.+0.j]
62	0.0378757375515	[ 1.+0.j]
63	0.0	[ 1.+0.j]
64	0.00780720337386	[ 1.+0.j]
65	0.0	[ 1.+0.j]
66	0.0327655812932	[ 1.+0.j]
67	0.0	[ 1.+0.j]
68	0.0760989505301	[ 1.+0.j]
69	0.0	[ 1.+0.j]
70	0.0520147359791	[ 1.+0.j]
71	0.0	[ 1.+0.j]
72	0.0172666861859	[ 1.+0.j]
73	0.0	[ 1.+0.j]
74	0.00330304065522	[ 1.+0.j]
75	0.0	[ 1.+0.j]
76	0.0003947754257	[ 1.+0.j]
77	0.0	[ 1.+0.j]
78	3.07892121093e-05	[ 1.+0.j]
79	0.0	[ 1.+0.j]
80	1.60429737856e-06	[ 1.+0.j]
81	0.0	[ 1.+0.j]
82	5.64463448301e-08	[ 1.+0.j]
83	0.0	[ 1.+0.j]
84	1.34203823815e-09	[ 1.+0.j]
85	0.0	[ 1.+0.j]
86	2.13820526138e-11	[ 1.+0.j]
87	0.0	[ 1.+0.j]
88	2.24208738318e-13	[ 1.+0.j]
89	0.0	[ 1.+0.j]
90	1.50152511012e-15	[ 1.+0.j]
91	0.0	[ 1.+0.j]
92	6.12843810504e-18	[ 1.+0.j]
93	0.0	[ 1.+0.j]
94	1.41644818302e-20	[ 1.+0.j]
95	0.0	[ 1.+0.j]
96	1.64106055693e-23	[ 1.+0.j]
97	0.0	[ 1.+0.j]
98	7.57779785555e-27	[ 1.+0.j]
99	0.0	[ 1.+0.j]
100	7.88860905221e-31	[ 1.+0.j]
