#x 	 prob[x] 	 prob_norm
60	0.00312203945657	[ 1.+0.j]
61	0.0	[ 1.+0.j]
62	0.0109563745453	[ 1.+0.j]
63	0.0	[ 1.+0.j]
64	0.00887139988571	[ 1.+0.j]
65	0.0	[ 1.+0.j]
66	0.00307476385447	[ 1.+0.j]
67	0.0	[ 1.+0.j]
68	0.021841965257	[ 1.+0.j]
69	0.0	[ 1.+0.j]
70	0.0211119437581	[ 1.+0.j]
71	0.0	[ 1.+0.j]
72	0.00849567252214	[ 1.+0.j]
73	0.0	[ 1.+0.j]
74	0.00185293851307	[ 1.+0.j]
75	0.0	[ 1.+0.j]
76	0.000244405298935	[ 1.+0.j]
77	0.0	[ 1.+0.j]
78	2.06164685597e-05	[ 1.+0.j]
79	0.0	[ 1.+0.j]
80	1.14603862137e-06	[ 1.+0.j]
81	0.0	[ 1.+0.j]
82	4.25926934759e-08	[ 1.+0.j]
83	0.0	[ 1.+0.j]
84	1.06165136911e-09	[ 1.+0.j]
85	0.0	[ 1.+0.j]
86	1.76289176486e-11	[ 1.+0.j]
87	0.0	[ 1.+0.j]
88	1.91748486941e-13	[ 1.+0.j]
89	0.0	[ 1.+0.j]
90	1.3268705541e-15	[ 1.+0.j]
91	0.0	[ 1.+0.j]
92	5.57770314232e-18	[ 1.+0.j]
93	0.0	[ 1.+0.j]
94	1.32411555605e-20	[ 1.+0.j]
95	0.0	[ 1.+0.j]
96	1.57199420695e-23	[ 1.+0.j]
97	0.0	[ 1.+0.j]
98	7.42318111813e-27	[ 1.+0.j]
99	0.0	[ 1.+0.j]
100	7.88860905221e-31	[ 1.+0.j]
